,noise,cutoff,true_model,algo,best_model_AIC,best_model_AICc,best_model_BIC,mean_err_AIC,mean_err_AICc,mean_err_BIC
0,5,150,rw1,Nelder-Mead,rw2_val,rw2_val,rw2_val,1.9826811218320453,1.9826811218320453,1.9826811218320453
0,5,150,rw1_att,Nelder-Mead,rw1_att,rw1_att,rw1_att,1.987559121611203,1.987559121611203,1.987559121611203
0,5,150,rw2_val,Nelder-Mead,rw2_val,rw2_val,rw2_val,0.7736495524164136,0.7736495524164136,0.7736495524164136
0,5,150,ph_basic,Nelder-Mead,rw1,rw1,rw1,7.314157449166269,7.314157449166269,7.314157449166269
0,10,90,rw1,Nelder-Mead,rw1,rw1,rw1,0.5261180872331849,0.5261180872331849,0.5261180872331849
0,10,90,rw1_att,Nelder-Mead,rw1_att,rw1_att,rw1_att,4.501397406130847,4.501397406130847,4.501397406130847
0,10,90,rw2_val,Nelder-Mead,rw1,rw1,rw1,22.63691912201289,22.63691912201289,22.63691912201289
0,10,90,ph_basic,Nelder-Mead,rw2_val,rw2_val,rw1_att,2.3016824998582184,2.3016824998582184,3.1582318129622395
0,10,90,rw1,Nelder-Mead,rw1,rw1,rw1,0.21795740882122017,0.21795740882122017,0.21795740882122017
0,10,90,rw1_att,Nelder-Mead,rw1_att,rw1_att,rw1_att,2.45024424756207,2.45024424756207,2.45024424756207
0,10,90,rw2_val,Nelder-Mead,rw2_val,rw2_val,rw1,0.24009438528257362,0.24009438528257362,2.470566966743463
0,10,90,ph_basic,Nelder-Mead,ph_basic,ph_basic,ph_basic,0.4312684378904568,0.4312684378904568,0.4312684378904568
0,10,120,rw1,Nelder-Mead,rw1,rw1,rw1,6.170033349551025,6.170033349551025,6.170033349551025
0,10,120,rw1_att,Nelder-Mead,rw1_att,rw1_att,rw1_att,0.3018085918176805,0.3018085918176805,0.3018085918176805
0,10,120,rw2_val,Nelder-Mead,rw2_val,rw2_val,rw2_val,0.6774318846118829,0.6774318846118829,0.6774318846118829
0,10,120,ph_basic,Nelder-Mead,ph_basic,ph_basic,ph_basic,9.537754935617167,9.537754935617167,9.537754935617167
0,10,120,rw1,Nelder-Mead,rw1,rw1,rw1,1.2953011889124528,1.2953011889124528,1.2953011889124528
0,10,120,rw1_att,Nelder-Mead,rw1,rw1,rw1,1.5464255014496193,1.5464255014496193,1.5464255014496193
0,10,120,rw2_val,Nelder-Mead,rw2_val,rw2_val,rw2_val,0.7103292007652,0.7103292007652,0.7103292007652
0,10,120,ph_basic,Nelder-Mead,ph_basic,ph_basic,rw1,2.784819710987027,2.784819710987027,3.741435296445464
0,10,150,rw1,Nelder-Mead,rw1,rw1,rw1,0.18722670262036004,0.18722670262036004,0.18722670262036004
0,10,150,rw1_att,Nelder-Mead,rw1_att,rw1_att,rw1_att,2.7240660519301865,2.7240660519301865,2.7240660519301865
0,10,150,rw2_val,Nelder-Mead,rw2_val,rw2_val,rw2_val,6.582178139799515,6.582178139799515,6.582178139799515
0,10,150,ph_basic,Nelder-Mead,ph_basic,ph_basic,ph_basic,6.536555501704984,6.536555501704984,6.536555501704984
0,10,150,rw1,Nelder-Mead,rw2_val,rw2_val,rw1,0.6314552072271352,0.6314552072271352,0.22784083051861745
0,10,150,rw1_att,Nelder-Mead,rw1_att,rw1_att,rw1_att,3.8945969765801443,3.8945969765801443,3.8945969765801443
0,10,150,rw2_val,Nelder-Mead,rw2_val,rw2_val,rw2_val,3.2344795003160973,3.2344795003160973,3.2344795003160973
0,10,150,ph_basic,Nelder-Mead,ph_basic,ph_basic,ph_basic,1.4185040116877967,1.4185040116877967,1.4185040116877967
0,20,90,rw1,Nelder-Mead,rw1,rw1,rw1,0.36479058416960874,0.36479058416960874,0.36479058416960874
0,20,90,rw1_att,Nelder-Mead,rw1,rw1,rw1,2.815881691545696,2.815881691545696,2.815881691545696
